,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5
C071,North Tammyfort,Evelynland,Jonesshire,Wendystad,Port James
C072,East Madison,Douglasmouth,North Tammyfort,South Corystad,East Mark
C073,Herreraberg,Herreraberg,Herreraberg,Jessicaview,Lawrenceberg
C074,East Tyler,Lake Samuelfurt,Lake Jacobfort,Evelynland,Lake Samuelfurt
C075,Port James,Lake Jamesburgh,Jessicaview,Jillianview,Herreraberg
C076,Kaylachester,Lake Samuelfurt,Lake Jacobfort,Douglasmouth,Lake Holly
C077,Deborahfurt,Jessicabury,Port Nicoleville,Deborahfurt,Jessicabury
C078,Dylanton,North Tammyfort,Herreraberg,South Micheleside,Herreraberg
C079,North Jonathan,West Leslie,Jessicaview,Deborahfurt,South Corystad
C080,Deborahfurt,South Corystad,South Danny,Jessicaview,Deborahfurt
C081,East Tyler,Jessicaview,East Tyler,Jillianview,East Mark
C082,Lawrenceberg,Douglasmouth,Lake Samuelfurt,Lake Jamesburgh,Kaylachester
C083,Lawrenceberg,North Tammyfort,Markberg,Moorestad,East Tyler
C084,Jessicaview,West Leslie,Lake Jamesburgh,East Ethan,Dylanton
C085,Jonesshire,Jessicabury,Kaylachester,Lake Jacobfort,East Tyler
C086,Lake Holly,Douglasmouth,Douglasmouth,North Tammyfort,Deborahfurt
C087,West Leslie,North Jonathan,North Tammyfort,East Tyler,Port Johnland
C088,Markberg,Lake Jamesburgh,Jonesshire,Lake Jacobfort,Douglasmouth
C089,Douglasmouth,West Eric,Lake Samuelfurt,Lake Jamesburgh,Kaylachester
C090,Kaylachester,Lake Jacobfort,Deborahfurt,Douglasmouth,Lake Jamesburgh
C091,Evelynland,Jillianview,Deborahfurt,Port Nicoleville,Deborahfurt
C092,South Micheleside,Douglasmouth,Jessicabury,Port Nicoleville,Lake Holly
C093,Kaylachester,Lake Cynthiamouth,Jessicaview,East Mark,East Tyler
C094,Douglasmouth,East Madison,South Corystad,East Mark,Kaylachester
C095,Douglasmouth,North Tammyfort,Herreraberg,Dylanton,Deborahfurt
C096,Jessicaview,Jillianview,East Tyler,Jessicabury,Wendystad
C097,Lake Samuelfurt,Markberg,Herreraberg,East Ethan,South Corystad
C098,East Tyler,East Ethan,Lake Samuelfurt,North Jonathan,Jessicabury
C099,Lake Jacobfort,Lake Jacobfort,North Tammyfort,Douglasmouth,Nicolestad
C100,South Corystad,Douglasmouth,East Mark,Douglasmouth,Deborahfurt
